Restaurant_Name,min_price,rating,total_reviews,category,location,province,address,Latitude,Longitude,Province
Dumpling Drop,10,4.0,19,Dumplings,victoria,BC,"556a Pandora Ave Pandora St. Victoria, BC V8W 1N7 Canada",48.4287317,-123.3675159,BC
Part and Parcel,25,4.6,63,Canadian (New),victoria,BC,"2656 Quadra Street Victoria, BC V8T 4E4 Canada",48.4390886,-123.3593378,BC
Cafe Brio,45,4.3,111,Italian,victoria,BC,"944 Fort Street Victoria, BC V8V 3K2 Canada",48.42405,-123.3576042,BC
Beijing Bistro,25,3.9,28,Chinese,victoria,BC,"769 Fort Street Victoria, BC V8W 1G9 Canada",48.424312,-123.3634765,BC
Bin 4 Burger Lounge,25,3.9,155,Burgers,victoria,BC,"911 Yates Street Suite 180 Victoria, BC V8V 4X3 Canada",48.42504,-123.35766,BC
The Mint,25,3.6,105,Asian Fusion,victoria,BC,"1414 Douglas Street Victoria, BC V8W 2G1 Canada",48.4275599,-123.364849,BC
Legislative Dining Room,25,4.6,27,Breakfast & Brunch,victoria,BC,"614 Government Street Victoria, BC V8V 2H4 Canada",48.4190854,-123.3692445,BC
Perro Negro,45,4.7,18,Tapas/Small Plates,victoria,BC,"536 Yates Street Victoria, BC V8W 1K8 Canada",48.4270046,-123.3690454,BC
Cenote Restaurant and Lounge,25,3.9,23,Lounges,victoria,BC,"768 Yates Street Victoria, BC V8W 3Z1 Canada",48.4263364,-123.362825,BC
Ayo Eat,10,4.6,47,Indonesian,victoria,BC,"Market Square 140-156 Johnson Street Victoria, BC V8W 3C6 Canada",48.4279327,-123.368928,BC
Tibetan Kitchen,25,4.2,52,Himalayan/Nepalese,victoria,BC,"680 Broughton Street Victoria, BC V8W 1C9 Canada",48.4242226,-123.3660772,BC
Lido Waterfront Bar & Bistro,25,3.8,36,Seafood,victoria,BC,"1234 S Wharf Street Victoria, BC V8W 3H9 Canada",48.4265941,-123.3709204,BC
Sult Pierogi Bar,25,4.2,99,Polish,victoria,BC,"609 Yates St Victoria, BC V8W 1L1 Canada",48.4264262,-123.3669085,BC
The Tapa Bar,25,3.9,211,Tapas Bars,victoria,BC,"620 Trounce Alley Victoria, BC V8W 1K3 Canada",48.426009,-123.366604,BC
Fuego Old Town Eatery,25,4.4,76,Breakfast & Brunch,victoria,BC,"Market Square 1435 Store Street Victoria, BC V8W 3C6 Canada",48.428156,-123.369395,BC
Irish Times Pub,25,4.0,436,Irish Pub,victoria,BC,"1200 Government Street Victoria, BC V8W 1Y3 Canada",48.4258565,-123.3679504,BC
Moxies,25,3.9,40,Canadian (New),victoria,BC,"1010 Yates Street Suite 1 Victoria, BC V8V 3M6 Canada",48.4255311,-123.3559586,BC
Heron Rock Bistro,25,4.3,104,Breakfast & Brunch,victoria,BC,"435 Simcoe Street Victoria, BC V8V 4T4 Canada",48.4156474,-123.3753358,BC
Jones Bar B Que,25,3.9,61,Barbeque,victoria,BC,"1725 Cook Street Victoria, BC V8T 3P4 Canada",48.4291674,-123.3525717,BC
Be Love,25,4.1,143,Vegan,victoria,BC,"1019 Blanshard Street Victoria, BC V8W 2H4 Canada",48.4240131,-123.362368,BC
Clarke&Co,45,4.0,41,Cocktail Bars,victoria,BC,"1002 Blanshard Street Victoria, BC V8W 1E1 Canada",48.423651,-123.3629409,BC
J & J Wonton Noodle House,25,3.7,72,Chinese,victoria,BC,"1012 Fort Street Victoria, BC V8V 3K4 Canada",48.4238736,-123.3561296,BC
Browns Socialhouse - Victoria Falls,25,3.3,87,Pubs,victoria,BC,"809 Douglas Street Victoria, BC V8W 2B9 Canada",48.4223422,-123.365555,BC
Fire & Water Fish and Chop House,25,3.7,34,Canadian (New),victoria,BC,"728 Humboldt Street Victoria, BC V8W 3Z5 Canada",48.4214921,-123.3646247,BC
The Drake Eatery,25,4.1,74,Tapas/Small Plates,victoria,BC,"517 Pandora Street Victoria, BC V8W 3C6 Canada",48.4283464,-123.3690416,BC
Saveur Restaurant,45,4.6,47,French,victoria,BC,"658 Herald Street Victoria, BC V8W 1S7 Canada",48.4304579,-123.3654207,BC
Gozen,25,4.2,66,Japanese,victoria,BC,"1005 Langley Street Victoria, BC V8W 1V7 Canada",48.4244617,-123.3685469,BC
Ghost Ramen,25,3.8,16,Ramen,victoria,BC,"1609 Store St Victoria, BC V8W 3K3 Canada",48.4287356,-123.3694214,BC
Yates Street Taphouse,25,3.4,47,Pubs,victoria,BC,"759 Yates Street Victoria, BC V8W 1L6 Canada",48.4259008,-123.3626286,BC
Pizzeria Prima Strada,25,4.2,179,Pizza,victoria,BC,"230 Cook Street Victoria, BC V8V 3X3 Canada",48.4140981,-123.3571555,BC
Messob Ethiopian Cuisine,10,4.8,12,Ethiopian,victoria,BC,"1109 McKenzie Avenue Victoria, BC V8V 2W1 Canada",48.4146606,-123.3556713,BC
Stage,45,4.2,59,Wine Bars,victoria,BC,"1307 Gladstone Avenue Victoria, BC V8R 1R9 Canada",48.4303865,-123.3449193,BC
My Thai Cafe,25,4.1,34,Thai,victoria,BC,"1020 Cook Street Victoria, BC V8V 3Z5 Canada",48.4226833,-123.3545167,BC
"Sakura Sushi, Grocery and Japanese Restaurant",10,3.5,15,Japanese,victoria,BC,"1213 Quadra Street Victoria, BC V8W 2K6 Canada",48.4251639,-123.3591699,BC
Golden City Restaurant,25,3.7,99,Chinese,victoria,BC,"721 Fisgard Street Victoria, BC V8W 1R8 Canada",48.4293234,-123.3632914,BC
Sura Korean Cuisine,45,3.0,48,Korean,victoria,BC,"1518 Robson Street Vancouver, BC V6G 1C3 Canada",49.2888512,-123.1316371,BC
Sura Korean Cuisine,45,3.0,48,Korean,victoria,BC,"1696 Douglas Street Victoria, BC V8W 2G6 Canada",48.4292923,-123.3647259,BC
Sen Zushi,25,4.2,46,Japanese,victoria,BC,"940 Fort Street Victoria, BC V8V 3K2 Canada",48.4240859,-123.357857,BC
The Keg Steakhouse + Bar,45,4.1,146,Seafood,victoria,BC,"500 Fort Street Victoria, BC V8W 1E5 Canada",48.425239,-123.3695954,BC
Picnic Too,25,4.5,11,Coffee & Tea,victoria,BC,"1019 Fort Street Victoria, BC V8V 3K5 Canada",48.4234258,-123.3560499,BC
Kuma Noodles Japan,10,4.1,36,Ramen,victoria,BC,"1551 Cedar Hill Cross Road Suite 215 Victoria, BC V8P 2P2 Canada",48.4614663,-123.3347743,BC
Milestones,25,3.5,184,Canadian (New),victoria,BC,"812 Wharf St Victoria, BC V8W 1T3 Canada",48.4228659,-123.3689381,BC
Steamship Grill & Taphouse,25,3.2,150,Seafood,victoria,BC,"470 Belleville Street Victoria, BC V8V 1W9 Canada",48.421105,-123.3713739,BC
Interactivity Board Game Cafe,10,4.3,36,Tabletop Games,victoria,BC,"723 Yates Street Victoria, BC V8W 1L6 Canada",48.4260256,-123.3638628,BC
Ramen Arashi,25,5.0,3,Ramen,victoria,BC,"2950 Douglas Street Unit 222 Victoria, BC V8T 4N4 Canada",48.4427341,-123.370132,BC
Oak Bay Seafood,25,3.9,18,Seafood Markets,victoria,BC,"2024 Oak Bay Avenue Victoria, BC V8R 1E4 Canada",48.4267401,-123.3215821,BC
Le Petit Saigon Vietnamese Restaurant,25,4.2,80,Vietnamese,victoria,BC,"1010 Langley Street Victoria, BC V8W 1V8 Canada",48.4246551,-123.3690014,BC
Earls Kitchen + Bar,25,3.9,147,Canadian (New),victoria,BC,"1199 Government Street #100 - Bay Center Victoria Victoria, BC V8W 3M9 Canada",48.4252022,-123.3665039,BC
Varsha Indian Kitchen,25,3.8,116,Gluten-Free,victoria,BC,"1600 Government Street Suite 101 Victoria, BC V8W 1Z3 Canada",48.42878,-123.36736,BC
Bangkok Modern Thai Cuisine,25,4.0,21,Thai,victoria,BC,"1813 Douglas Street Victoria, BC V8T 4K5 Canada",48.4307075,-123.3641706,BC
Brickyard Pizza,10,3.1,36,Pizza,victoria,BC,"784 Yates Street Victoria, BC V8W 1L4 Canada",48.4263058,-123.3625037,BC
Sushi Time Express,10,4.6,21,Japanese,victoria,BC,"120 - 735 Yates Street Victoria, BC V8W 1L6 Canada",48.4258434,-123.3636376,BC
Menbow Ramen Bar,25,3.7,66,Ramen,victoria,BC,"1018 Blanshard Street Victoria, BC V8W 2H5 Canada",48.423894,-123.362935,BC
LURE Restaurant & Bar,25,3.5,64,Seafood,victoria,BC,"100 Harbour Road Victoria, BC V9A 0G1 Canada",48.4268102,-123.3752044,BC
Victoria Harbour House Restaurant,45,3.3,82,Steakhouses,victoria,BC,"607 Oswego St Victoria, BC V8V 4W9 Canada",48.4211323,-123.3744302,BC
La Taqueria,25,3.7,56,Mexican,victoria,BC,"766 Fort Street Victoria, BC V8W 1H2 Canada",48.4245444,-123.3632873,BC
The Old Spaghetti Factory,25,3.2,128,Italian,victoria,BC,"703 Douglas Street Victoria, BC V8W 2B4 Canada",48.4203731,-123.3661269,BC
The Bent Mast,25,3.4,45,Pubs,victoria,BC,"512 Simcoe Street Victoria, BC V8V 1L8 Canada",48.4152902,-123.3734114,BC
The Oaks Restaurant,25,3.5,26,Breakfast & Brunch,victoria,BC,"206-2250 Oak Bay Avenue Victoria, BC V8R 1G5 Canada",48.4266646,-123.3146396,BC
Omakase Izakaya & Sushi Bar,25,3.5,35,Japanese,victoria,BC,"990 Blanshard Street Victoria, BC V8W 2H3 Canada",48.4234351,-123.3629505,BC
Island Poké,25,4.1,27,Poke,victoria,BC,"1674 Douglas Street Victoria, BC V8W 2G6 Canada",48.4290536,-123.3648556,BC
Hope Key,25,4.2,50,Chinese,victoria,BC,"1313 Douglas Street Victoria, BC V8W 2E9 Canada",48.4267034,-123.3645897,BC
The Flying Otter,25,3.7,195,Seafood,victoria,BC,"950 Wharf Street Victoria, BC V8W 1C6 Canada",48.4237828,-123.3712407,BC
Topos Ristorante Italiano,45,4.3,3,Italian,victoria,BC,"1218 Wharf St Victoria, BC V8W 1T8 Canada",48.426445,-123.370475,BC
Roast,25,4.0,41,Sandwiches,victoria,BC,"1701 Douglas Street Unit 6 Victoria, BC V8W 0C1 Canada",48.4298795,-123.3640647,BC
Crooked Goose Bistro,25,3.7,46,Canadian (New),victoria,BC,"4136 Wilkinson Road Victoria, BC V8Z 5A7 Canada",48.4787427,-123.4113383,BC
Italian Food Imports,10,4.2,37,Delis,victoria,BC,"1114 Blanshard Street Victoria, BC V8W 2H6 Canada",48.4247916,-123.3625978,BC
La Taquisa,10,3.6,71,Mexican,victoria,BC,"1017 Blanshard Street Victoria, BC V8W 2H4 Canada",48.4239623,-123.3623852,BC
The Local,25,3.6,150,Burgers,victoria,BC,"1205 Wharf Street Victoria, BC V8W 3H9 Canada",48.426062,-123.369869,BC
Thai Green Elephant Restaurant,25,4.1,31,Thai,victoria,BC,"809 Craigflower Road Victoria, BC V9A 2W8 Canada",48.4393771,-123.3933097,BC
Hecklers Bar & Grill,25,3.8,28,Comedy Clubs,victoria,BC,"123 Gorge Road E Victoria, BC V9A 1L1 Canada",48.4427029,-123.3861166,BC
QV Cafe & Bakery,10,3.9,65,Bakeries,victoria,BC,"1701 Government Street Victoria, BC V8W 1Z4 Canada",48.4295811,-123.3666938,BC
CRAFT Beer Market - Victoria,25,2.8,13,"Beer, Wine & Spirits",victoria,BC,"450 Swift Street Victoria, BC V8W 1S3 Canada",48.4296462,-123.3713537,BC
ReBar Modern Food,25,4.0,272,Vegan,victoria,BC,"50 Bastion Square Victoria, BC V8W 1J2 Canada",48.4258871,-123.3680068,BC
Siam Thai Restaurant,25,3.8,51,Thai,victoria,BC,"512 Fort Street Victoria, BC V8W 1E6 Canada",48.4251114,-123.3690001,BC
Fan Tan Cafe,25,3.4,84,Chinese,victoria,BC,"549 Fisgard Street Victoria, BC V8W 1R5 Canada",48.429243,-123.3678711,BC
5th Street Bar & Woodfire Grill,25,3.5,80,American (Traditional),victoria,BC,"1028 Hillside Avenue Victoria, BC V8T 2A3 Canada",48.4397884,-123.3582633,BC
Tre Fantastico,25,3.1,43,Cafes,victoria,BC,"810 Humboldt Street Victoria, BC V8T 5B1 Canada",48.420397,-123.3630542,BC
Chicken On the Run,25,3.9,20,Chicken Wings,victoria,BC,"405 Craigflower Road Victoria, BC V9A 2V7 Canada",48.4363061,-123.3874257,BC
10 Acres Kitchen,45,3.5,69,Bars,victoria,BC,"614 Humboldt Street Victoria, BC V8W 1A4 Canada",48.4229949,-123.3679192,BC
Rise & Grind,25,4.1,17,Coffee & Tea,victoria,BC,"1294 Broad Street Victoria, BC V8W 2A5 Canada",48.426279,-123.366511,BC
The Ruby,25,4.3,138,Breakfast & Brunch,victoria,BC,"642 Johnson St Victoria, BC V8W 1M6 Canada",48.4275172,-123.3656961,BC
The Ruby,25,4.3,138,Breakfast & Brunch,victoria,BC,"3110 Douglas Street Victoria, BC V8Z 3K4 Canada",48.4460473,-123.3717578,BC
Wah Lai Yuen,25,3.4,60,Chinese,victoria,BC,"560 Fisgard Street Victoria, BC V8W 1R4 Canada",48.4295034,-123.3675693,BC
JBI Café Restaurant,25,3.6,10,Cafes,victoria,BC,"270 Government Street Victoria, BC V8V 2L2 Canada",48.4153947,-123.3694605,BC
The Sticky Wicket,25,2.8,174,British,victoria,BC,"The Strathcona Hotel 919 Douglas Street Victoria, BC V8W 2C2 Canada",48.4234682,-123.3654445,BC
La Belle Patate,10,3.9,68,Fast Food,victoria,BC,"1215 Davie Street Vancouver, BC V6E 1N4 Canada",49.2820333,-123.1335487,BC
La Belle Patate,10,3.9,68,Fast Food,victoria,BC,"1215 Esquimalt Road Victoria, BC V9A 3P1 Canada",48.4300048,-123.4132095,BC
Superior Pizza,25,3.8,22,Pizza,victoria,BC,"455 Simcoe Street Victoria, BC V8V 4T3 Canada",48.4155363,-123.3748544,BC
Vista 18,25,3.5,96,Wine Bars,victoria,BC,"740 Burdett Avenue 18th Floor Victoria, BC V8W 1B2 Canada",48.4221151,-123.3646121,BC
Avalon Restaurant,25,4.1,33,Breakfast & Brunch,victoria,BC,"1075 Fort Street Victoria, BC V8V 3K5 Canada",48.4233708,-123.3548685,BC
The Tartan Toque,25,3.6,38,Canadian (New),victoria,BC,"1507 Pandora Avenue Victoria, BC V8R 6P9 Canada",48.42598,-123.339,BC
Vis-à-Vis,25,4.1,39,Wine Bars,victoria,BC,"2232 Oak Bay Avenue Victoria, BC V8R 1G5 Canada",48.4266254,-123.3149281,BC
Ebizo Japanese Restaurant,25,3.8,109,Japanese,victoria,BC,"604 Broughton Street Victoria, BC V8W 1C7 Canada",48.4242474,-123.3675773,BC
Hot and Cold Cafe,25,4.7,24,Soup,victoria,BC,"313 Cook Street Victoria, BC V8V Canada",48.4144169,-123.3561763,BC
Baan Thai Restaurant,25,3.8,30,Thai,victoria,BC,"1117 Blanshard St Victoria, BC V8W 2H7 Canada",48.4247323,-123.3621701,BC
Baan Thai Restaurant,25,3.8,30,Thai,victoria,BC,"2000 Cadboro Bay Road Unit 104 Oak Bay, BC V8R 5G5 Canada",48.4325966,-123.3215758,BC
Sizzling Tandoor,25,4.0,108,Indian,victoria,BC,"637 Johnson Street Victoria, BC V8W 1M7 Canada",48.427039,-123.3656218,BC
Cafe Mexico,25,3.3,78,Mexican,victoria,BC,"1425 Store Street Victoria, BC V8W 3C6 Canada",48.4280603,-123.3688021,BC
Water Prince Corner Shop,25,4.2,211,Seafood,charlottetown,PEI,"141 Water Street Charlottetown, PE C1A 1A8 Canada",46.2339164,-63.1222245,PE
Claddagh Oyster House,45,4.4,71,Seafood,charlottetown,PEI,"131 Sydney Street Charlottetown, PE C1A 1G5 Canada",46.233763,-63.126065,PE
Hopyard,25,4.4,50,Beer Bar,charlottetown,PEI,"151 Kent Street Charlottetown, PE C1A 1N5 Canada",46.2365678,-63.1276157,PE
The Gahan House,25,4.0,190,Breweries,charlottetown,PEI,"126 Sydney Street Charlottetown, PE C1A 1G4 Canada",46.2334763,-63.1259271,PE
The Brickhouse Kitchen & Bar,25,3.9,78,Seafood,charlottetown,PEI,"125 Sydney Street Charlottetown, PE C1A 4K4 Canada",46.2336031,-63.1262273,PE
The Pilot House,25,4.1,46,Seafood,charlottetown,PEI,"70 Grafton St Charlottetown, PE C1A 1K7 Canada",46.2337815,-63.1285997,PE
Himalayan Indian Cuisine,25,4.5,23,Himalayan/Nepalese,charlottetown,PEI,"39 Eden Street Unit 5 Charlottetown, PE C1A 4N4 Canada",46.2439112,-63.1352634,PE
Himalayan Indian Cuisine,25,4.5,23,Himalayan/Nepalese,charlottetown,PEI,"138 Great George Street Charlottetown, PE C1A 4K6 Canada",46.2359417,-63.1268425,PE
Sims Corner Steakhouse & Oyster Bar,45,4.2,85,Steakhouses,charlottetown,PEI,"86 Queen Street Charlottetown, PE C1A 4A7 Canada",46.233264,-63.12622,PE
Brakish,25,4.1,39,Seafood,charlottetown,PEI,"2 Lower Water Street Charlottetown, PE C1A 4A2 Canada",46.23211,-63.1234,PE
John Brown Richmond Street Grille,25,4.1,56,American (Traditional),charlottetown,PEI,"132 Richmond Street Charlottetown, PE C1A 1H9 Canada",46.23389,-63.126567,PE
The Chip Shack,25,4.2,62,Seafood,charlottetown,PEI,"2 Great George Street Charlottetown, PE C1A 4K6 Canada",46.2325652,-63.1226719,PE
Row House Lobster,25,3.8,49,Seafood,charlottetown,PEI,"146 Richmond Street Charlottetown, PE C1A Canada",46.2340687,-63.1261798,PE
Famous Peppers,25,4.3,30,Pizza,charlottetown,PEI,"7 St Peters Road Charlottetown, PE C1A 5N1 Canada",46.2466838,-63.1236574,PE
Piatto Pizzeria + Enoteca,25,4.6,33,Pizza,charlottetown,PEI,"45 Queen Street Charlottetown, PE C1A 4A4 Canada",46.2322303,-63.1256482,PE
Churchill Arms,25,4.2,43,British,charlottetown,PEI,"75 Queen Street Charlottetown, PE C1A 4A8 Canada",46.2329042,-63.1264838,PE
Splendid Essence,25,4.5,35,Vegetarian,charlottetown,PEI,"186 Prince Street Charlottetown, PE C1A 1P1 Canada",46.2376164,-63.126296,PE
The Old Triangle,25,4.1,33,Irish,charlottetown,PEI,"189 Great George Street Charlottetown, PE C1A 4L1 Canada",46.2367858,-63.1287852,PE
Seoul Food,25,3.7,7,Korean,charlottetown,PEI,"330 University Avenue Charlottetown, PE C1A 4M4 Canada",46.2422178,-63.1320673,PE
Merchantman,25,3.6,62,Seafood,charlottetown,PEI,"23 Queen Street Charlottetown, PE C1A 4A2 Canada",46.231719,-63.124843,PE
Receiver Coffee,25,4.4,83,Cafes,charlottetown,PEI,"128 Richmond Street Charlottetown, PE C1A 1H7 Canada",46.233818,-63.126674,PE
Receiver Coffee,25,4.4,83,Cafes,charlottetown,PEI,"178 Water Street Charlottetown, PE C1A 8W1 Canada",46.2342128,-63.1206954,PE
Silver Streams Restaurant,25,3.7,7,Chinese,charlottetown,PEI,"7 St. Peters Road Charlottetown, PE C1A 5N3 Canada",46.2466838,-63.1236574,PE
The Kettleblack,10,4.1,21,Breakfast & Brunch,charlottetown,PEI,"45 Queen Street Charlottetown, PE C1A 4A4 Canada",46.2322303,-63.1256482,PE
The Noodle House,25,3.5,13,Chinese,charlottetown,PEI,"188 Great George Street Charlottetown, PE C1A 2P7 Canada",46.2374913,-63.1290219,PE
Brits Fish and Chips,25,4.2,45,Fish & Chips,charlottetown,PEI,"141 Great George Street Charllottetown, PE C1B 4K7 Canada",46.2356807,-63.1274655,PE
Olde Dublin Pub,25,3.9,49,Seafood,charlottetown,PEI,"131 Sydney Street Charlottetown, PE C1A 1G5 Canada",46.233763,-63.126065,PE
Taco Boyz,10,3.4,10,Mexican,charlottetown,PEI,"393  University Ave Charlottetown, PE C1A 4N4 Canada",46.2447383,-63.1348772,PE
Taco Boyz,10,3.4,10,Mexican,charlottetown,PEI,"201 Buchanan Dr Charlottetown, PE C1E 2E4 Canada",46.2648907,-63.1491318,PE
Lobster On The Wharf,45,2.6,71,Seafood,charlottetown,PEI,"2 Prince Street Charlottetown, PE C1A 8C1 Canada",46.2326716,-63.1202325,PE
The Factory Downtown,25,3.4,7,Bars,charlottetown,PEI,"189 Kent St. Charlottetown, PE C1A 1P1 Canada",46.2375253,-63.1259979,PE
China King Buffet Restaurant,25,2.9,8,Chinese,charlottetown,PEI,"660 University Avenue Charlottetown, PE C1E 1E5 Canada",46.2639233,-63.1460111,PE
Swiss Chalet Rotisserie & Grill,25,3.3,3,American (Traditional),charlottetown,PEI,"359 University Avenue Charlottetown, PE C1A 4M9 Canada",46.2431486,-63.1338387,PE
Redwater Rustic Grille,25,3.4,14,Canadian (New),charlottetown,PEI,"123 Grafton Street Charlottetown, PE C1A 4K6 Canada",46.2351606,-63.1274806,PE
Fishbones,25,3.0,35,Seafood,charlottetown,PEI,"136 Richmond Street Charlottetown, PE C1A 1H9 Canada",46.234003,-63.12635,PE
Casa Mia Cafe,25,3.4,52,Cafes,charlottetown,PEI,"131 Queen Street Charlottetown, PE C1A 4B3 Canada",46.234036,-63.127822,PE
Ta Ke Sushi,25,3.7,28,Sushi Bars,charlottetown,PEI,"92 Queen St Charlottetown, PE C1A 4B1 Canada",46.2334801,-63.1263985,PE
Water Street Fish & Chips,25,3.8,26,Fish & Chips,charlottetown,PEI,"73 Water Street Charlottetown, PE C1A 4J7 Canada",46.232349,-63.1247501,PE
Selkirk Dining Room,45,5.0,1,Canadian (New),charlottetown,PEI,"18 Queen Street Charlottetown, PE C1A 4A1 Canada",46.2320126,-63.1239944,PE
Pho Vietnam Restaurant,25,2.0,17,Vietnamese,charlottetown,PEI,"123 Queen Street Charlottetown, PE C1A 4B3 Canada",46.2337911,-63.1276849,PE
Canton Cafe,25,3.3,12,Chinese,charlottetown,PEI,"73 Queen Street Charlottetown, PE C1A 4A8 Canada",46.2328331,-63.1263619,PE
DQ Grill & Chill Restaurant,25,2.6,5,Fast Food,charlottetown,PEI,"365 University Ave Charlottetown, PE C1A 4N2 Canada",46.2436888,-63.1340666,PE
Boom Burger,25,3.7,36,Burgers,charlottetown,PEI,"403 Capital Drive Charlottetown, PE C1E 1Z3 Canada",46.2582683,-63.1810195,PE
China Garden,25,1.9,19,Chinese,charlottetown,PEI,"96 Queen Street Charlottetown, PE C1A 4B1 Canada",46.233524,-63.126583,PE
Boston Pizza,25,2.5,14,Pizza,charlottetown,PEI,"700 University Ave Charlottetown, PE C1E 1E3 Canada",46.2662792,-63.147374,PE
Kiwanis Dairy Bar,10,5.0,1,Ice Cream & Frozen Yogurt,charlottetown,PEI,"50 Park Roadway Charlottetown, PE C1A 1V1 Canada",46.2277825,-63.1389472,PE
Bamboo Garden Restaurant,25,2.0,2,Chinese,charlottetown,PEI,"25 Hopeton Road Stratford, PE C1B 1T6 Canada",46.2308878,-63.0990787,PE
Subway,10,3.5,4,Sandwiches,charlottetown,PEI,"685 University Avenue Charlottetown, PE C1E 1E5 Canada",46.2656196,-63.1483933,PE
Subway,10,3.5,4,Sandwiches,charlottetown,PEI,"101 Grafton Street Unit C Charlottetown, PE C1A 1K9 Canada",46.2347323,-63.128151,PE
A&W,25,2.7,3,Fast Food,charlottetown,PEI,"650 University Avenue Charlottetown, PE C1A 1E3 Canada",46.2635915,-63.145733,PE
RGE RD,45,4.4,172,Canadian (New),edmonton,AB,"10643 - 123 Street Edmonton, AB T5M 1Z1 Canada",53.5506791,-113.5338299,AB
Woodwork,25,4.2,172,Canadian (New),edmonton,AB,"10132-100 Street Edmonton, AB T5J 0N8 Canada",53.542023,-113.490727,AB
BaoBao,25,4.3,40,Noodles,edmonton,AB,"10544 Jasper Avenue Edmonton, AB T5J 1Z7 Canada",53.541361,-113.502144,AB
Baijiu,25,4.4,52,Cocktail Bars,edmonton,AB,"103-10359 104 Street NW Edmonton, AB T5J 1B9 Canada",53.5459109,-113.4986901,AB
Otto Food and Drink,25,4.5,75,Gastropubs,edmonton,AB,"11405 95 Street NW Edmonton, AB T5G 1L3 Canada",53.5645034,-113.4869837,AB
Bundok,50,4.5,53,Canadian (New),edmonton,AB,"10228 104 Street NW Edmonton, AB T5J 1B8 Canada",53.5437016,-113.4994695,AB
Meat,25,4.1,475,Barbeque,edmonton,AB,"8216 104 Street Edmonton, AB T6E 4E6 Canada",53.5186535,-113.4978516,AB
Pip,25,4.3,172,Wine Bars,edmonton,AB,"10335 83 Avenue NW Edmonton, AB T6E 2C6 Canada",53.5189742,-113.4971528,AB
Blowers & Grafton,25,4.1,127,Canadian (New),edmonton,AB,"10550 82 Ave NW Edmonton, AB T6E 2A4 Canada",53.5183647,-113.5028093,AB
Cafe Amore Bistro,25,4.3,143,Cafes,edmonton,AB,"10807 106 Avenue NW Edmonton, AB T5H 4A7 Canada",53.5496651,-113.5069385,AB
Bodega Highlands,25,4.6,55,Tapas Bars,edmonton,AB,"6509 112th Avenue NW Edmonton, AB T5W 0P1 Canada",53.5646317,-113.4381206,AB
The Lunchbox Diner,25,4.5,17,Diners,edmonton,AB,"14413 115 Avenue NW Edmonton, AB T5M 3B8 Canada",53.5649987,-113.5701334,AB
El Mero Mero Taqueria,25,4.0,30,Mexican,edmonton,AB,"12223 156 Street NW Edmonton, AB T5V 1E6 Canada",53.57559,-113.58976,AB
Biera,25,3.9,79,Beer Bar,edmonton,AB,"9570 - 76th Avenue Edmonton, AB T6C 0K2 Canada",53.51263,-113.476381,AB
Black Pearl Seafood Bar-Downtown,45,4.2,99,Seafood,edmonton,AB,"10132 104 Street Edmonton, AB T5J 1A7 Canada",53.5417398,-113.4995021,AB
Refinery Grill,25,3.8,60,Delis,edmonton,AB,"10406 Mayfield Road Edmonton, AB T5P 4P4 Canada",53.5467017,-113.6139123,AB
The Common,25,3.8,167,Lounges,edmonton,AB,"9910 109th Street Edmonton, AB T5K 1H5 Canada",53.5375828,-113.5087145,AB
Nongbu Korean Eatery,25,4.3,53,Korean,edmonton,AB,"8115-104 Street NW Edmonton, AB T6E 4E4 Canada",53.5174639,-113.497275,AB
OEB Breakfast,25,4.4,237,Breakfast & Brunch,edmonton,AB,"10174 100A Street Edmonton, AB T5J 0H3 Canada",53.5426187,-113.4925759,AB
Uccellino,45,4.4,82,Italian,edmonton,AB,"10349 Jasper Avenue Edmonton, AB T5J 1Y7 Canada",53.5407475,-113.4987987,AB
SugarBowl,25,4.0,486,Breakfast & Brunch,edmonton,AB,"10922 88 Avenue NW Edmonton, AB T6G 0Z1 Canada",53.5240099,-113.5131099,AB
The Butternut Tree,50,4.2,41,Canadian (New),edmonton,AB,"9707 110 St NW Edmonton, AB T5K 2L9 Canada",53.5343181,-113.509691,AB
Sabor,45,4.2,167,Portuguese,edmonton,AB,"10220 103 Street Edmonton, AB T5J 4A1 Canada",53.5435145,-113.4976116,AB
The Bedouins,25,4.8,50,Middle Eastern,edmonton,AB,"12832 137 Avenue NW Edmonton, AB T5L 4Y8 Canada",53.6005654,-113.5428032,AB
Tokiwa Ramen,25,4.2,120,Ramen,edmonton,AB,"11978 104 Avenue Edmonton, AB T5K 0T3 Canada",53.5474099,-113.5279006,AB
Izakaya Tomo,25,4.4,169,Japanese,edmonton,AB,"3739 99 Street Edmonton, AB T6E 6J7 Canada",53.4713345,-113.4854612,AB
JOEY Bell Tower,25,3.9,81,Canadian (New),edmonton,AB,"10310-101 Street NW Edmonton, AB T5J 4X1 Canada",53.5451088,-113.4941745,AB
Dadeo,25,4.0,263,Southern,edmonton,AB,"10548A 82 Avenue NW Edmonton, AB T6E 2A4 Canada",53.5184085,-113.5026666,AB
Share,45,3.8,10,Steakhouses,edmonton,AB,"10135 100 Street NW The Westin Edmonton Edmonton, AB T5J 0N7 Canada",53.542016,-113.4898746,AB
CRAFT Beer Market,25,3.5,258,Canadian (New),edmonton,AB,"10013 101A Avenue Edmonton, AB T5J 0C3 Canada",53.5418144,-113.4912764,AB
