Restaurant Name,Rating,Category,Address,,,
Passage to India Restaurant,4.4,Indian,"5546 Robinson St, Niagara Falls, ON L2G",,,
Volcano Pizzeria,4.5,Pizza,"256 East Main Street Welland, On L3b 3w9,",,,
Three Uncles Korean Chicken ,4.4,Korean,"198 Glenridge Avenue, Saint Catharines, ON L2T",,,
BIG TUNA ASIAN CUISINE,4.5,Asian Fusion,"350 Ontario St, 101, St. Catharines, ON L2R",,,
KF Tea ,4.8,Asian,"30 Rice Road #Unit 9, Welland, ON L3C 5Y6",,,
KFC ,4.7,American,"295 4th Ave West, St. Catharines, ON L2R 6P9",,,
Pie Guys Pizzeria,0,Pizza,"130 Highway #20 East Fonthill, On L0s 1e6 Canada,",,,
Wings Block,4.5,Wings,"515 King St, Welland, ON L3B 3K4",,,
The Fry,4.8,Korean,"6530 Lundy'S Lane, Niagara Falls, ON L2G 1T6",,,
Landmark Cinemas ,4.2,American,"221 Glendale Ave, St. Catharines, ON L2T 2K9",,,
Church's Texas Chicken ,4.4,Comfort food,"5846 Drummond Road, Niagara Falls, ON L2G 4L5",,,
Swiss Chalet ,4.5,Burgers,"285 Geneva St, St. Catharines, ON L2N",,,
Lee's home taste Braised  Chicken（老李黄焖鸡）,4.5,Chinese,"100 Fourth Ave #7, St. Catharines, ON L2S 3Z5",,,
Little Caesars ,4.6,Pizza,"300 Lincoln Street, Unit 12, Welland, ON L3B",,,
Lester D's Reel Diner,4.4,Burgers,"144 Hartzel Rd, St. Catharines, On L2P 1N8",,,
Fat Cat's Pizza Inc,4.5,Italian,"106 Rockwood Ave, St. Catharines, Ontario L2P",,,
City South Pizza ,4.2,Pizza,"7939 Lundy'S Lane, Niagara Falls, ON L2H 1H3",,,
Hewad Kabab & Shawarma,4.6,Afghan,"55 St Paul St, St. Catharines, On L2R 3M3",,,
Jack Astor's ,4.3,Burgers,"400 Ontario St., St. Catharines, ON L2R",,,
Gino's Pizza ,4.6,Pizza,"224 Glenridge Ave, St Catharines, ON L2T 3J8",,,
Culinary Dropout Fonthill,4.6,American,"200 Highway 20 East  #6, Pelham, ON L0S",,,
Bamboo Restaurant,4.3,chinese,"641 King St, Welland, ON L3B 3L5",,,
Magnolia Chinese Cuisine,4.3,Chinese,"7666 Lundy'S Lane, Niagara Falls, ON L2H 1H1",,,
Asia Fusion,4.3,Asian fusion,"248 Wellington Street, Welland, ON L3B 1B5",,,
Rangla Punjab Indian Restaurant,3.9,Indian,"5550 Ferry St, Niagara Falls, ON L2G 1S4",,,
Pete's Pizza,4.4,Pizza,"4914 Victoria Ave, Niagara Falls, ON L2E 4C6",,,
Hijabeez Shawarma & Falafel House,4.8,Mediterranean,"6850 Thorold Stone Road Unit 5, Niagara Falls, NAMER L2J 1B4",,,
Twice the Deal ,4.5,Italian,"30 Rice Rd, Welland, Ontario L3C 2V4",,,
Green Island Chinese Resturant and Bar,4.4,Chinese,"8278 Regional Rd 57, Niagara Falls, ON L2H",,,
Hot Kitchen,4.3,Indian,"491 Merritt St, St Catharines, ON L2P",,,
Firehouse Subs ,4.7,Sandwich,"6758 Lundy'S Ln, Unit 6, Niagara Falls, ON L2G",,,
The Pizzeria,4.2,Pizza,"6175 Dunn St, Niagara Falls, NAMER L2G 2P4",,,
Fresh Burrito ,4.4,Mexican,"5932 Victoria Avenue, Unit 6, Niagara Falls, ON L2G",,,
Smoke's Poutinerie ,4.6,Fast food,"10 Summer St, St. Catharine'S, ON L2R",,,
Volcanos Pizzeria ,0,Pizza,"1409 Pelham St, ON L0S",,,
Subito Sandwich,4.8,Sandwich,"389 Gladstone Ave, Ottawa, ON K2P 0Y9",,,
Burger King #12882 ,4.6,American,"199 Montreal Road, Vanier, ON K1L",,,
Pizza Pizza ,4.7,Chicken Strips,"673 West Somerset Street, Ottawa, ON K1R",,,
McDonald's ,4.5,Fast food,"252 Elgin St, Ottawa, ON K2P",,,
SAFI FINE FOODS INC,4.9,Halal,"296 Somerset Street East, Ottawa, ON K1N 6W1",,,
Starbucks ,4.9,Bakery,"340 Albert Street, Ottawa, ON K1R 7Y6",,,
A&W ,4.4,Fast food,"155 Queen Street, Ottawa, ON K1P",,,
Harvey's ,4.7,Burgers,"564 Bronson Ave, Ottawa, ON K1R 6K3",,,
Lusa Bakery,4.8,Modern European,"1111 Wellington Street West Ottawa, On K1Y 2Y6",,,
Aladdin Bakery ,4.9,Bakery,"1020 St Laurent Blvd, Unit 7, Ottawa, ON K1K 4S2",,,
La Fiesta Latina,4.6,Mexican,"565 Somerset St W, Ottawa, On K1r, Canada, K1R 5K1",,,
Kettlemans Bagel ,4.7,Sandwich,"912 Bank St, Ottawa, On K1s 3w6, Canada, ACTIVE K1S 3W6",,,
New King Shawarma Plus,4.8,Middle Eastern,"205 Bank St, Ottawa, ON K2P",,,
Zesty Market ,4.5,Convenience,"280 Elgin St, Ottawa, ON K2P 1M2",,,
Breakfast by Gabriel's,4.6,Pizza,"100 Metcalfe Street, Ottawa, ON K1P",,,
Pho Bo Ga King ,4.5,Thai,"778 Somerset St W, Ottawa, ON K1R",,,
Prince Ali Bakery,4.9,Middle Eastern,"1600 Walkley Rd, Ottawa, ON k1v6p5",,,
Thai Express ,4.7,Thai,"50 Rideau Street , Unit FC006, Ottawa, ON K1N",,,
Egg Pops Cafe and Grill,4.6,Breakfast and brunch,"358 Rideau Street Ottawa, On K1n 5y6 Canada,",,,
GoForSushi,4.6,Japanese: Sushi,"344 Slater St, Ottawa, ON K1R",,,
Sherwood Market & Deli,4.9,Sandwiches,"111 Sherwood Drive, Ottawa, ON K1Y",,,
Lollo Salads,4.9,Salads,"60 George St, Ottawa, ON K1N",,,
Tealive,4.7,Bubble tea,"675 Somerset St W, Ottawa, ON K1R 6P3",,,
Accacia Fine Pastries & Desserts,4.6,Desserts,"1020 St Laurent Blvd, Ottawa, On K1k 4s2, Canada, Unit 12, K1K 3B4",,,
Some Coffee & Some Tea,4.7,American,"300 Laurier Avenue West, Ottawa, ON K1A 1J2",,,
Cora Breakfast and Lunch  ,4.5,Breakfast and brunch,"179 Rideau Street, Ottawa, ON K1N",,,
Oat Couture Oatmeal Cafe,4.8,Healthy,"750 Gladstone Avenue, Ottawa, ON K1R 6X5",,,
MEDITERRANEAN BAKERY AND PIZZA,4.5,American,"2698 Alta Vista Drive, Ottawa, ON K1V",,,
Sunset Grill ,4.4,Breakfast and brunch,"100 Marche Way, Ottawa, ON K1S 5J3",,,
Subway ,4.7,Sandwich,"161 Montreal Rd, Ottawa, ON K1L 6E4",,,
Booster Juice ,0,Healthy,"344 Slater St Unit 22a, Ottawa, NAMER K1R 7Y3",,,
Tim Hortons ,4.6,Cafe,"100 Metcalfe Street, Ottawa, NAMER K1P 0A7",,,
Farhat’s Bakery,4.7,Desserts,"1119 Meadowlands Dr E, Ottawa, ON K2E 6J5",,,
Reynolds Restaurant,4.8,Deli,"874 Clyde Ave, Ottawa, ON K1Z",,,
John Juan Burrito,4.7,Mexican,"1091 St Laurent Blvd, 2, Ottawa, ON K1K 3B1",,,
Strawberry Blonde Bakery ,4.7,Bakery,"111 Richmond Rd, Ottawa, On K1Z",,,
Geenie Bakery,4.8,Halal,"209 Glen Park Dr, Ottawa, ON K1B 5B8",,,
Cadmans Montreal Bagels ,4.7,Canadian,"150 Montreal Road, Vanier, ON K1L 8H2",,,
Bridgehead Coffee ,4.8,Coffee & tea,"224 Dalhousie Street, Ottawa, ON K1N 5H7",,,
Little Caesars ,4.3,Pizza,"355 Montreal Road, Vanier, ON K1L",,,
Juice Dudez,4.7,Juice & Smoothies,"A-91 Richmond Rd, Ottawa, ON K1Z",,,
Drip House ,4.9,Coffee & tea,"121 Parkdale Avenue, Ottawa, NAMER K1Y 1E6",,,
Roberto's Corner,4.9,Italian,"1034 Pleasant Park Rd, Ottawa, ON K1G 2A1",,,
Wellington Diner,4.7,Burgers,"1385 Wellington St W, Ottawa, ON K1Y 2X1",,,
Edo Japan -  College Square,4.7,Asian,"1379 Woodroffe Ave, Nepean, ON K2G",,,
Cinnaholic ,4.7,Desserts,"900 Exhibition Way, 102, Ottawa, ON K1S",,,
Sweet Castle,4.4,Desserts,"2446 Bank St, Ottawa, ON K1T",,,
Drip House,4.5,Breakfast and brunch,"340 Parkdale Ave B, Ottawa, ON K1Y",,,
Punjabi Canteen,4.5,Indian,"1234 Merivale Rd, Ottawa, ON K2C 4C3",,,
E. T. Cafe,4.9,Breakfast and brunch,"1355 Bank St, Ottawa, ON K1H",,,
Figaro Coffee House,4.9,Breakfast and brunch,"650 Industrial Ave, Ottawa, ON K1G 5A5",,,
Ali Baba Bakery,4.8,Middle Eastern,"200 Vanguard Dr, 7, Ottawa, Ontario K4A",,,
Broadway Bar & Grill ,4.7,Burgers,"1486 Innes Rd, Ottawa, Ontario K1B",,,
Hasty Market ,0,Convenience,"158 Mcarthur Ave, Ottawa, NAMER K1L 7E7",,,
Metro ,4.7,Grocery,"50 Beechwood Ave, Ottawa, NAMER K1L 8B3",,,
Barburrito ,4.5,Mexican,"280 W Hunt Club Rd, Ottawa, ON K2E 1A5",,,
Mr. Puffs ,4.6,Pastry,"200 Marché Way, 109, Ottawa, ON K1S 5J3",,,
Club House - Ottawa,4.6,Sandwich,"874 Clyde Avenue North, Ottawa, ON K2A",,,
The Cake Shop INC,4.8,Desserts,"1200 Wellington St W C, Ottawa, Ontario K1Y",,,
Walmart ,0,Grocery,"2277 Riverside Dr, Ottawa, ON K1H 7X6",,,
Ottawa South Groceteria,4.6,Convenience,"431 Sunnyside Avenue, Ottawa, ON K1S",,,
Cadmans Montreal Bagels,4.5,Canadian,"2177 Carling Ave, Ottawa, ON K2A 3V6",,,
STACKED Smoked meat,4.6,Breakfast & Brunch,"2679 Bank St, Gloucester, ON K1T",,,
SemSem ,4.8,Middle Eastern,"2430 Bank Street, Ottawa, NAMER K1V 0T7",,,
Broadway Bar & Grill ,4.6,Bar food,"1615 Orleans Blvd, ON K1C 7E2",,,
PetSmart ,4.9,Pet supplies,"1600 Heron Road  Unit 1, Ottawa, NAMER K1V 2P5",,,
Broadway Bar & Grill ,4.7,Burgers,"665 Earl Armstrong Road, Gloucester, ON K1V",,,
Desi Tadka food,4.5,Indian,"2006 Robertson Road, Unit 10 Nepean, On K2H",,,
Canadian Tire Gas+ ,4.6,Snacks,"1176 Heron Rd., Ottawa, ON K1V 6B2",,,
Cinnabon St Laurent,4.5,Bakery,"1200 St Laurent Blvd, Ottawa, ON K1K 3B8",,,
Sweetdaddy,4.6,Convenience,"654 Montreal Road, Ottawa, ON K1K 0T3",,,
New York Fries ,4.5,American,"2277 Riverside Drive , Unit 219, Ottawa, ON K1H",,,
Quelque Chose Macaron Boutique,4.6,Desserts,"379 Richmond Road, Ottawa, ON K2A",,,
Food Basics ,4.5,Everyday Essentials,"1021 Cyrville Road, Ottawa, NAMER K1J 7S3",,,
Second Cup ,0,Bakery,"1200 St. Laurent Blvd., K7, Ottawa, ON K1K 3B8",,,
The Baker,4.9,American,"3570 Strandherd Dr, Nepean, 12, Ottawa, ON K2J 5L4",,,
Adonis ,4.2,Grocery,"1055 Boulevard St Laurent, Ottawa, ON K1K 3B1",,,
The Cupcake Lounge ,4.9,Desserts,"324 Richmond Rd, Ottawa, ON K1Z 6X6",,,
Maverick's Donut Company ,0,American,"307a Richmond Road, Ottawa, ON K1Z",,,
7-Eleven ,4.7,Bakery,"710 W 6th Ave, Vancouver, BC V5Z",,,
Subway ,4.6,American,"1255 Granville Street, Vancouver, BC V6B",,,
Kingsway BBQ house 宽窄巷子,4.3,Chinese,"3488 Kingsway, Vancouver, Bc V5R",,,
Freshslice Pizza ,4.5,wings,"6374 Fraser St, Vancouver, BC V5W 3A4",,,
McDonald's ,4.8,Burgers,"4445 Main St, Vancouver, British Columbia V5V",,,
One-Stop-Shop,4,Everyday essentials,"780 Nelson Street, Vancouver, BC V6Z",,,
Davie Dosa Company,4.5,South Indian,"1235 Davie St, Vancouver, BC V6E 1N4",,,
Blenz Coffee ,3.7,Coffee & tea,"700 Davie St, Vancouver, BC V6Z 1B6",,,
Starbucks ,4.8,Bakery,"1777 Quebec Street, Vancouver, BC V5T 0E7",,,
A&W ,4.7,Fast food,"467 West Broadway, Vancouver, BC V5Y 1R4",,,
Body Energy Club ,4.7,Juice & Smoothies,"1198 West Pender Street, Vancouver, BC V6E",,,
Breka Bakery & Café ,4.9,Desserts,"855 Davie St, Vancouver, BC V6Z",,,
Dhaliwal Sweet & Restaurant,4.3,Indian,"6555 Fraser St, Vancouver, BC V5X",,,
Tim Hortons ,4.1,Bakery,"195 Terminal Avenue, Vancouver, BC V6A 4C4",,,
Biryaniwalla ,4.1,Indian,"6560 Main Street Vancouver, Bc V5x 3g9 Canada,",,,
Cineplex Cinemas - The Park Theatre,4.9,Fast food,"3440 Cambie Street, Vancouver, BC V5Z 2W8",,,
True Confections ,4.8,Desserts,"866 Denman St, Vancouver, BC V6G 2L8",,,
Booster Juice ,4.5,Juice & Smoothies,"2430 Commercial Drive, Vancouver, BC V5N 4B9",,,
Sharetea ,4.8,Asian,"2828 Cambie St, Vancouver, Bc V5Y",,,
Pizzeria Farina,4.8,Pizza,"915 Main St, Vancouver, BC V6A 2V8",,,
Winter Bear,4.7,Desserts,"907 Denman Street, Vancouver, BC V6G 2L9",,,
小黑糖 Baroness ,4.6,Asian,"780 Denman Street, Vancouver, NAMER V6G 1C9",,,
JAPADOG ,0,American,"Mcarthur Glen Outlet Mall 7899 Templeton Station Road, 1201, Richmond, BC V7B",,,
Meet Fresh 鲜芋仙 ,4.8,Desserts,"1232 Robson St, Vancouver, BC V6E",,,
Sharetea ,4.8,Bubble tea,"3619 Kingsway, Vancouver, BC V5R 5M1",,,
Hey! I am Yogost ,4.8,Healthy,"5631 West Boulevard, Vancouver, BC V6M 3W7",,,
Pizzeria Grano,4.7,Pizza,"3240 Main Street, Vancouver, NAMER V5V 3M5",,,
Yum Sweet Shop,4.9,Bakery,"4150 Main St, Vancouver, BC V5V 3P7",,,
Zab Zaab Thai Cuisine,4.9,Thai,"1211 Hamilton St, Vancouver, BC V6B 6K3",,,
Sun Bo Kong Vegetarian Restaurant 新宝光素食,4.6,Chinese,"1363 Kingsway, Vancouver, BC V5V",,,
Momo Sushi Gastown,4.9,Sushi,"375 Water St #6, Vancouver, Greater Vancouver V6B",,,
Sushigo,4.5,Sushi,"570 Bute St, Vancouver, Bc V6E",,,
The Bubble Tea Shop ,4.7,Bubble tea,"1764 Manitoba Street, Vancouver, BC V5Y",,,
Virtuous Pie ,4.8,Ice Cream & Frozen Yogurt,"583 Main Street, Vancouver, BC V6A",,,
Sunflower Bubble Tea,4.8,Asian,"5125 Joyce St, Vancouver, BC V5R",,,
Simply sushi bar,4.8,Sushi,"3309 West Broadway, 温哥华, BC V6R 2B1",,,
The First Dessert,4.5,Asian Fusion,"5857 Victoria Dr, Vancouver, BC V5P",,,
GotLot Tea Metro,4.7,Desserts,"5021 Kingsway, Burnaby, BC V5H 4A5",,,
Burrata Pizzeria,4.9,Pizza,"2104 W 41st Ave, Vancouver, BC V6M",,,
Milk & Sugar Cafe,4.7,Asian,"3365 Kingsway, Vancouver, BC V5R",,,
Pho Central Vietnamese Restaurant,4.9,Vietnamese,"1161 Davie Street, Vancouver, NAMER V6E 1N2",,,
Sushi Bros,4.8,Sushi,"380 Robson St, Vancouver, BC V6B",,,
Dolce Amore,4.9,Ice Cream & Frozen Yogurt,"1588 Commercial Dr, Vancouver, BC V5L 3Y2",,,
Pho Japolo ,5,Vietnamese,"2807 Broadway W, Vancouver, Greater Vancouver V6K 2G6",,,
Naruto Sushi,4.8,Sushi,"2763 Commercial Dr, Vancouver, British Columbia V5N 4C5",,,
Neptune Chinese Kitchen-Wesbrook,4.7,Chinese,"3337 Shrum Lane, Vancouver, BC V6S",,,
Indian Delicacy,4.7,Indian,"1130 W Pender St, 105, Vancouver, BC V6E",,,
The Juice Truck ,4.8,Juice & Smoothies,"4236 Main St, Vancouver, BC V5V 2H1",,,
Damso ,4.8,Korean,"867 Denman St, Vancouver, BC V6G 2L9",,,
Tom Sushi,4.9,Sushi,"1175 Davie St, Vancouver, BC V6E",,,
Cupcakes at Metrotown,4.5,Desserts,"4700 Kingsway , Unit # 1136A, Burnaby, BC V5H",,,
101 BOBA 50嵐 ,4.9,Asian,"8338 Capstan Way #1228, Richmond, BC V6X",,,
MIKU Vancouver,4.7,Sushi,"200 Granville St # 70, Vancouver, Bc V6c 1s4, Canada, V6B",,,
Body Energy Club ,4.5,Healthy,"746 Davie Street, Vancouver, Ca, V6z 2m9,",,,
Dinesty Dumpling House ,4.7,Chinese,"4501 Kingsway #104, Burnaby, BC V5H",,,
Ba Le Banh Mi,4.7,Sandwiches,"701 Kingsway, Vancouver, British Columbia V5T",,,
Tea Drop Cafe,0,Bubble tea,"1020 Howe St, Vancouver, BC V6Z 1P5",,,
Harambe Restaurant,4.6,African,"2149 Commercial Drive, Vancouver, BC V5N 4B3",,,
Tap & Barrel ,4.6,Burgers,"8 Lonsdale Ave, North Vancouver, Bc V7L",,,
Barcelos Flame Grilled Chicken,4.8,Chicken,"2120 Dollarton Hwy, 119, North Vancouver, British Columbia V7H",,,
Hanlin Tea House 翰林茶棧,0,Chinese,"8328 Capstan Way #1121, Richmond, BC V6X 4B6",,,
BT Cafe 大拇指餐廳,0,Chinese,"920 Kingsway, Vancouver, BC V5V 3C4",,,
Sushi Ville,4.6,Japanese,"2068 Commercial Drive, Vancouver, BC V5N 1L4",,,
Uma Sushi,4.9,Sushi,"450 W 8th Ave, Vancouver, BC V5Y",,,
Castella Cheesecake,4.7,Desserts,"1190 Robson St, Vancouver, BC V6E 1Y4",,,
Ginger Sushi,4.7,Japanese,"1437 Commercial Drive, Vancouver, BC V5L 3X8",,,
Star 6 Indian Cuisine,4.3,Indian,"4611 Number 6 Road #170, Richmond, NAMER V6V 2L3",,,
Reggiano's Pizza,4.7,Pizza,"2828 West 4th Avenue, Vancouver, NAMER V6K 1R2",,,
Tacofino Kitsilano,4.8,Mexican,"1909 W 4th Ave, Vancouver, BC V6J 1M7",,,
ChongQing Restaurant ,4.6,Chinese,"2808 Commercial Dr, Vancouver, BC V5N",,,
Delicious Pho ,4.7,Vietnamese,"255 Robson St., Vancouver, BC V6B 0E7",,,
Truedan ,4.9,Desserts,"4925 Kingsway, Burnaby, BC V5H 2E5",,,
Bubble World ,4.7,Asian,"1325 Robson St, Vancouver, BC V6E",,,
COBS bread - Commercial Drive,4.7,PIzza,"1748 Commercial Drive, , Vancouver, BC V5N 4A3",,,
Pizzeria Ludica Vancouver,4.5,Pizza,"189 Keefer Place, Vancouver, BC V6B",,,
Modern Handi Indian Cuisine,4.7,Indian,"827 Denman St, Vancouver, BC V6G",,,
Beeryani Indian Bistro and Bar,4.7,Indian,"1184 Denman St 202, Unit 202, Vancouver, BC V6G 2M9",,,
Trees Organic Coffee ,4.6,Coffee & tea,"930 Burrard St, Vancouver, BC V6Z 3G5",,,
Shizenya Restaurant on Broadway,4.9,Japanese,"1333 W Broadway, Vancouver, BC V6H",,,
Baba Sweets & Restaurant - Burnaby,4.6,Indian,"7561 6th St, Burnaby, BC V3N 3M4",,,
7-Eleven ,4.7,Wings,"813 Douglas St, Victoria, BC V8W 2B9",,,
McDonald's ,4.4,Burgers,"102 1581 Hillside Avenue, VICTORIA, BC V8T 2C1",,,
On the Run 43050 ,0,Everyday Essentials,"704 Goldstream Avenue, Langford, BC V9B 2X3",,,
Shell ,0,Everyday Essentials,"3393 Douglas Street, Victoria, British Columbia V8X",,,
Capones Chicken,0,Healthy,"749 View St, Victoria, BC V8W 1J9",,,
Petro-Canada ,0,Everyday Essentials,"3951 Shelbourne Street, Victoria, BC V8N",,,
Fresh Tandoori Flavour Indian Bistro Sidney,0,Indian,"2395 Beacon Avenue, Sidney, NAMER V8L",,,
Starbucks ,5,Bakery,"1959 Fort Street, Victoria, BC V8R 1K4",,,
Ohana Sushi,4.8,Japanese,"513 Fisgard Street, Victoria, BC V8W 1R4",,,
SHAKE IT Bubble Tea & Fresh Juice,4.8,Asian,"3500 Uptown Boulevard, 101, Victoria, BC V8Z 0B9",,,
Dairy Queen ,4.7,American,"2205 Sooke Road, Victoria, BC V9B 1W8",,,
Local Pizza - Victoria,5,Pizza,"1644 Hillside Ave, Victoria, BC V8T 2C5",,,
Snowy Village Victoria,4.3,Desserts,"4071 Shelbourne St #2a, Victoria, BC V8N 5Y1",,,
Pho Tru ,4.7,Vietnamese,"1012 Blanshard St, Victoria, BC V8T 2M1",,,
Rise and Grind,4.8,Sandwich,"1294 Broad St, Victoria, BC V8W",,,
The Poke Lounge,4.9,Japanese,"866 Yates St, Victoria, BC V8W 1L8",,,
White Spot ,4.6,American,"941 Langford Parkway, Victoria, BC V9B 0A5",,,
Ooh La La Cupcakes ,4.8,Cupcakes,"1391a Hillside Ave, Victoria, BC V8T 2B3",,,
Freshii ,4.7,Bowls,"1000 Douglas St, Victoria, BC V8W 1C9",,,
Bobadog,5,Asian fusion,"1108 Blanshard Street, Victoria, BC V8W 2H6",,,
Chocolats Favoris ,4.7,Desserts,"1010 Government St, Victoria, BC V8W",,,
Purple Garden Chinese Restaurant,4.5,Chicken,"1551 Cedar Hill Cross Rd, Victoria, NAMER V8P 2P2",,,
Morning People Food Truck,4.8,American,"325 Cook St, Victoria, BC V8V 3X5",,,
Little Sweety Cakes Studio,4.4,Bakery,"732 Broughton Street, Victoria, BC V8W 1E1",,,
Baan Thai ,4.7,Thai,"104 - 2000 Cadboro Bay Road, Victoria, NAMER V8R 5G5",,,
Leopold's Tavern ,4.6,American,"570 Yates Street, Victoria, BC V8W 1K8",,,
SH91 Tea ,0,Asian,"1026 Blanshard Street, Victoria, BC V8W 2H5",,,
SH91 Dessert,0,Chinese,"759 Yates St, Victoria, BC V8V 3M2",,,
Masala Mantra,0,Indian,"3480 Tillicum Road, Victoria, BC V8Z 4H3",,,
Phonomenal Vietnamese Cafe,4.5,Vietnamese,"3749 Shelbourne Street, Victoria, BC V8P",,,
Blue Nile African Restaurant,5,African,"612 Head Street #3, Victoria, BC V9A 5S8",,,
Nautical Nellies Steak & Seafood House,4.8,Steak,"1001 Wharf St, Victoria, BC V8W 1T6",,,
Szechuan Restaurant,4.3,Chinese,"853 Caledonia Ave, Victoria, BC V8T 4B9",,,
Golden City Restaurant,3.9,Chinese,"721 Fisgard Street, Victoria, BC V8W 0B8",,,
Red Robin ,4.4,Burgers,"800 Tolmie Ave, Victoria, Bc V8X 3W4",,,
Curry Club,4.7,Indian,"980 Blanshard Street, Victoria, BC V8W",,,
NAMASTE INDIAN CUISINE,4.4,Indian,"2950 Douglas Street, 280, Victoria, BC V8T",,,
Turmeric Indian Cuisine,4.5,Indian,"777 Goldstream Avenue, Victoria, NAMER V9B",,,
Pagliacci’s,4.5,Pasta,"1011 Broad Street, Victoria, BC V8W 2A1",,,
Varsha Indian Kitchen,4.7,Indian,"1600 Government Street, Victoria, BC V8W",,,
Flourish BeauTea,0,Coffee & tea,"667 Fort St, Victoria, BC V8W",,,
Xing Fu Tang 幸福堂 ,4.5,Asian,"608 Broughton St, Victoria, Bc V8W",,,
Yates Coffee Bar,4.6,Vegan,"733 Yates St, Victoria, NAMER V8W 1L6",,,
Noodle Box ,4.1,Asian fusion,"3500 Uptown Blvd, Saanich, BC V8Z 0B9",,,
Il Greco Restaurant,4.7,Pizza,"2900 Tillicum Road, Victoria, BC V9A 2A5",,,
New York Fries ,4.2,American,"Fc#5 3147 Douglas Street, Victoria, BC V8T",,,
Little Caesars ,4.5,Pizza,"1625 Hillside Avenue, VICTORIA, BC V8T 2C3",,,
Famoso Neapolitan Pizzeria ,4.7,Pizza,"128-560 Johnson Street, Victoria, BC V8W",,,
Fork'n Pork,4.5,Comfort food,"1221 Wharf St, Victoria, BC V8W",,,
Menbow Ramen Bar,4.6,Ramen,"1018 Blanshard Street, Victoria, British Columbia V8W 2H5",,,
Ono Poké,4.7,Asian,"3531 Uptown Blvd, 101, Saanich, BC V8Z 0B9",,,
The Tikka Bar,3.1,Indian,"762 Broughton St, Victoria, BC V8W 1E4",,,
Montana's ,4.4,BBQ,"315 Burnside Rd W, Victoria, BC V9A",,,
Dragon Roll Sushi Market,4.6,Asian,"4596 West Saanich Road, Victoria, NAMER V8Z",,,
Island Poke,4.8,Seafood,"1674 Douglas St, Victoria, BC V8W 2G6",,,
Brickyard Pizza,4.6,Pizza,"784 Yates St, Victoria, Bc V8W",,,
Cora Breakfast & Lunch ,0,American,"850 Douglas Street Victoria, Bc V8v 2b6 Canada,",,,
Fresh Tandoori Flavour Indian Bistro Oak Bay,0,Indian,"1951 Oak Bay Avenue, Victoria, BC V8S",,,
Momi Noodle House,0,Chinese,"554 Pandora Avenue, Victoria, BC V8W 1N7",,,
Omakase,0,Japanese,"990 Blanshard St, Victoria, BC V8W",,,
The Joint Pizzeria,4.5,Pizza,"1219 Wharf St, Victoria, BC V8W 1T9",,,
Pho Wisdom,4.5,Vietnamese,"915 Fort St #102, Victoria, BC V8V",,,
Beijing Bistro,4.6,Chinese,"769 Fort Street, Victoria, BC V8W",,,
Local Pizza,4.3,Pizza,"1483 Douglas Street, #105, Victoria, NAMER V8W 3K4",,,
Fonbo Restaurant,4.3,Chinese,"4458 West Saanich Rd, Victoria, NAMER V8Z 3E9",,,
Sarpino's Pizzeria ,4.8,Pizza,"1122 Blanshard Street, Victoria, BC V8W",,,
Bon Macaron Patisserie - Victoria,0,American,"1012 Broad St, Victoria, NAMER V8W 2A1",,,
Goodview Family Restaurant,4.2,Chinese,"310 Wale Rd, Victoria, NAMER V9B",,,
erito sushi,4.6,Sushi,"3531 Uptown Boulevard, Victoria, BC V8Z 0B9",,,
Tractor Foods ,4.6,Salads,"805 Government Street, Victoria, BC V8W",,,
Five Spice Indian Cuisine,0,Indian,"3431 Happy Valley Road, Victoria, BC V9C",,,
Hecklers Bar & Grill,4.6,Wings,"123 Gorge Rd E, Victoria, BC V9A 1L1",,,
Delicious Pizza & Pasta,4.7,Pizza,"3388 Douglas Street #6,, Victoria, NAMER V8Z",,,
The Tropical Island Restaurant,4.8,Asian,"3690 Shelbourne St #1, Victoria, BC V8P",,,
Vietnam Garden Restaurant,0,Vietnamese,"524 Admirals Road , Victoria, BC V9a2n4",,,
YUMMY TRUCK,0,Mediterranean,"675 Belleville St, Victoria, BC V8V",,,
Futaba,0,Japanese,"759 Yates St, 1 L4, Victoria, BC V8W 0E2",,,
7-Eleven ,4.5,Wings,"278 Tecumseh Rd E @ Mcdougall, Windsor, ON N8X",,,
Food Basics ,4.5,Everyday Essentials,"880 Goyeau St, Windsor, NAMER N9A 1H7",,,
Starbucks ,4.9,American,"300 Tecumseh Rd E, Windsor, ON N8X 5E8",,,
M&M Food Market ,0,Grocery,"4120 Walker Road, Windsor, NAMER N8W3T5",,,
Burger King #13322 ,4.3,American,"300 Tecumseh Rd E, Windsor, ON N8X",,,
Harvey's ,4.7,Burgers,"2380 Wyandotte Street W., Windsor, ON N9B",,,
Wendy's ,4.4,Fast food,"55 Tecumseh Road West, Windsor, ON N8X 4Y4",,,
Sam's Convenience,0,Snacks,"1212 Ouellette Ave, Windsor, ON N8X 1J5",,,
PetSmart ,0,Pet supplies,"3164 Dougal Ave. Windsor, On N9e 1s6 Ca,",,,
Walmart ,0,Grocery,"3120 Dougall Ave, Windsor, Ca, N9e 1s7,",,,
Metro ,4.4,Grocery,"3100 Howard Ave, Windsor, NAMER N8X 3Y8",,,
Cultures ,0,Mexican,"3100 Howard Avenue Windsor, On N8x 3y4,",,,
Subway ,4.3,American,"33 University Ave, Windsor, ON N9A 7B4",,,
Little Caesars ,4.4,Pizza,"300 Tecumseh Road East, Windsor, ON N8X",,,
